date,algo_id,total_pnl,trades_count,wins,losses
2024-01-09 00:00:00,algo1,200.0,1,1,0
2024-03-19 00:00:00,algo1,200.0,1,1,0
2024-08-30 00:00:00,algo1,200.0,1,1,0
2025-01-02 00:00:00,algo1,-200.0,1,0,1
2024-03-20 00:00:00,algo1,-200.0,1,0,1
2024-09-23 00:00:00,algo1,200.0,1,1,0
2024-05-23 00:00:00,algo1,-200.0,1,0,1
2024-06-24 00:00:00,algo1,200.0,1,1,0
2024-03-28 00:00:00,algo1,-200.0,1,0,1
2025-02-21 00:00:00,algo1,200.0,1,1,0
2025-05-14 00:00:00,algo1,200.0,1,1,0
2024-10-17 00:00:00,algo1,-200.0,1,0,1
2024-04-08 00:00:00,algo1,200.0,1,1,0
2024-01-08 00:00:00,algo1,-200.0,1,0,1
2024-01-11 00:00:00,algo1,200.0,1,1,0
2024-02-14 00:00:00,algo1,-200.0,1,0,1
2024-12-27 00:00:00,algo1,200.0,1,1,0
2024-08-22 00:00:00,algo1,200.0,1,1,0
2025-05-08 00:00:00,algo1,-200.0,1,0,1
2024-01-31 00:00:00,algo1,-200.0,1,0,1
2024-01-04 00:00:00,algo1,200.0,1,1,0
2024-12-30 00:00:00,algo1,-200.0,1,0,1
2024-05-02 00:00:00,algo1,200.0,1,1,0
2024-09-25 00:00:00,algo1,200.0,1,1,0
2025-01-16 00:00:00,algo1,200.0,1,1,0
2024-03-22 00:00:00,algo1,-200.0,1,0,1
2024-10-23 00:00:00,algo1,200.0,1,1,0
2024-02-20 00:00:00,algo1,200.0,1,1,0
2024-05-29 00:00:00,algo1,200.0,1,1,0
2025-01-10 00:00:00,algo1,-200.0,1,0,1
2024-04-10 00:00:00,algo1,200.0,1,1,0
2025-05-21 00:00:00,algo1,-200.0,1,0,1
2024-03-15 00:00:00,algo1,200.0,1,1,0
2024-11-08 00:00:00,algo1,200.0,1,1,0
2025-01-08 00:00:00,algo1,-200.0,1,0,1
2024-10-11 00:00:00,algo1,200.0,1,1,0
2024-12-02 00:00:00,algo1,-200.0,1,0,1
2025-01-17 00:00:00,algo1,200.0,1,1,0
2025-05-09 00:00:00,algo1,200.0,1,1,0
2024-10-31 00:00:00,algo1,200.0,1,1,0
2025-02-28 00:00:00,algo1,-200.0,1,0,1
2024-06-14 00:00:00,algo1,200.0,1,1,0
2025-03-04 00:00:00,algo1,200.0,1,1,0
2025-03-20 00:00:00,algo1,-200.0,1,0,1
2024-08-19 00:00:00,algo1,200.0,1,1,0
2024-02-22 00:00:00,algo1,-200.0,1,0,1
2024-10-01 00:00:00,algo1,200.0,1,1,0
2025-02-10 00:00:00,algo1,-200.0,1,0,1
2025-04-30 00:00:00,algo1,200.0,1,1,0
2025-01-30 00:00:00,algo1,200.0,1,1,0
2024-01-24 00:00:00,algo1,-200.0,1,0,1
2024-12-10 00:00:00,algo1,200.0,1,1,0
2024-08-05 00:00:00,algo1,-200.0,1,0,1
2024-08-06 00:00:00,algo1,-200.0,1,0,1
2024-11-21 00:00:00,algo1,-200.0,1,0,1
2024-01-16 00:00:00,algo1,200.0,1,1,0
2024-12-31 00:00:00,algo1,200.0,1,1,0
2024-10-15 00:00:00,algo1,200.0,1,1,0
2025-01-28 00:00:00,algo1,-200.0,1,0,1
2024-04-03 00:00:00,algo1,200.0,1,1,0
2024-06-28 00:00:00,algo1,200.0,1,1,0
2024-04-12 00:00:00,algo1,200.0,1,1,0
2024-01-12 00:00:00,algo1,200.0,1,1,0
2025-02-13 00:00:00,algo1,-200.0,1,0,1
2024-06-20 00:00:00,algo1,200.0,1,1,0
2024-09-12 00:00:00,algo1,-200.0,1,0,1
2025-02-24 00:00:00,algo1,200.0,1,1,0
2025-02-11 00:00:00,algo1,-200.0,1,0,1
2025-01-03 00:00:00,algo1,200.0,1,1,0
2024-02-27 00:00:00,algo1,200.0,1,1,0
2024-12-04 00:00:00,algo1,200.0,1,1,0
2024-06-12 00:00:00,algo1,200.0,1,1,0
2024-11-01 00:00:00,algo1,200.0,1,1,0
2024-08-26 00:00:00,algo1,200.0,1,1,0
2024-01-25 00:00:00,algo1,200.0,1,1,0
2024-06-10 00:00:00,algo1,200.0,1,1,0
2025-05-20 00:00:00,algo1,-200.0,1,0,1
2025-03-18 00:00:00,algo1,-200.0,1,0,1
2024-09-05 00:00:00,algo1,200.0,1,1,0
2024-08-12 00:00:00,algo1,-200.0,1,0,1
2024-12-12 00:00:00,algo1,200.0,1,1,0
2024-08-23 00:00:00,algo1,200.0,1,1,0
2025-03-25 00:00:00,algo1,-200.0,1,0,1
2024-07-25 00:00:00,algo1,200.0,1,1,0
2024-11-22 00:00:00,algo1,-200.0,1,0,1
2024-06-25 00:00:00,algo1,200.0,1,1,0
2024-11-04 00:00:00,algo1,-200.0,1,0,1
2025-02-27 00:00:00,algo1,200.0,1,1,0
2024-01-15 00:00:00,algo1,200.0,1,1,0
2024-11-05 00:00:00,algo1,-200.0,1,0,1
2025-03-11 00:00:00,algo1,200.0,1,1,0
2024-04-30 00:00:00,algo1,200.0,1,1,0
2025-02-25 00:00:00,algo1,200.0,1,1,0
2024-09-10 00:00:00,algo1,200.0,1,1,0
2025-01-13 00:00:00,algo1,-200.0,1,0,1
2024-03-21 00:00:00,algo1,200.0,1,1,0
2024-08-14 00:00:00,algo1,200.0,1,1,0
2024-05-06 00:00:00,algo1,200.0,1,1,0
2024-07-26 00:00:00,algo1,-200.0,1,0,1
2024-10-28 00:00:00,algo1,-200.0,1,0,1
2024-02-07 00:00:00,algo1,200.0,1,1,0
2024-07-29 00:00:00,algo1,200.0,1,1,0
2025-05-06 00:00:00,algo1,200.0,1,1,0
2024-04-24 00:00:00,algo1,200.0,1,1,0
2025-03-07 00:00:00,algo1,200.0,1,1,0
2024-04-15 00:00:00,algo1,200.0,1,1,0
2024-04-09 00:00:00,algo1,200.0,1,1,0
2024-12-05 00:00:00,algo1,-200.0,1,0,1
2024-02-26 00:00:00,algo1,200.0,1,1,0
2024-03-27 00:00:00,algo1,200.0,1,1,0
2024-07-02 00:00:00,algo1,200.0,1,1,0
2024-05-13 00:00:00,algo1,-200.0,1,0,1
2024-04-22 00:00:00,algo1,200.0,1,1,0
2024-06-11 00:00:00,algo1,200.0,1,1,0
2024-06-26 00:00:00,algo1,200.0,1,1,0
2025-05-19 00:00:00,algo1,200.0,1,1,0
2024-10-30 00:00:00,algo1,200.0,1,1,0
2024-08-13 00:00:00,algo1,-200.0,1,0,1
2025-03-10 00:00:00,algo1,-200.0,1,0,1
2024-09-30 00:00:00,algo1,-200.0,1,0,1
2024-02-29 00:00:00,algo1,200.0,1,1,0
2024-12-17 00:00:00,algo1,-200.0,1,0,1
2025-05-16 00:00:00,algo1,200.0,1,1,0
2024-01-30 00:00:00,algo1,-200.0,1,0,1
2024-08-08 00:00:00,algo1,-200.0,1,0,1
2024-02-16 00:00:00,algo1,200.0,1,1,0
2024-02-12 00:00:00,algo1,-200.0,1,0,1
2025-01-31 00:00:00,algo1,-200.0,1,0,1
2024-03-11 00:00:00,algo1,200.0,1,1,0
2024-05-03 00:00:00,algo1,-200.0,1,0,1
2024-11-29 00:00:00,algo1,-200.0,1,0,1
2024-07-24 00:00:00,algo1,200.0,1,1,0
2024-02-06 00:00:00,algo1,200.0,1,1,0
2024-10-16 00:00:00,algo1,200.0,1,1,0
2025-02-06 00:00:00,algo1,200.0,1,1,0
2024-11-19 00:00:00,algo1,-200.0,1,0,1
2025-01-06 00:00:00,algo1,-200.0,1,0,1
2025-01-27 00:00:00,algo1,200.0,1,1,0
2024-06-03 00:00:00,algo1,-200.0,1,0,1
2024-09-02 00:00:00,algo1,200.0,1,1,0
2024-02-15 00:00:00,algo1,200.0,1,1,0
2025-03-19 00:00:00,algo1,200.0,1,1,0
2025-05-05 00:00:00,algo1,200.0,1,1,0
2025-01-21 00:00:00,algo1,-200.0,1,0,1
2025-03-17 00:00:00,algo1,-200.0,1,0,1
2024-09-24 00:00:00,algo1,200.0,1,1,0
2025-05-13 00:00:00,algo1,-200.0,1,0,1
2024-05-17 00:00:00,algo1,200.0,1,1,0
2024-02-01 00:00:00,algo1,200.0,1,1,0
2024-10-08 00:00:00,algo1,-200.0,1,0,1
2025-03-05 00:00:00,algo1,-200.0,1,0,1
2024-03-01 00:00:00,algo1,-200.0,1,0,1
2024-09-16 00:00:00,algo1,200.0,1,1,0
2024-01-02 00:00:00,algo1,200.0,1,1,0
2024-12-24 00:00:00,algo1,200.0,1,1,0
2024-10-21 00:00:00,algo1,-200.0,1,0,1
2025-03-27 00:00:00,algo1,200.0,1,1,0
2025-01-24 00:00:00,algo1,-200.0,1,0,1
2024-09-18 00:00:00,algo1,200.0,1,1,0
2024-07-15 00:00:00,algo1,200.0,1,1,0
2024-05-15 00:00:00,algo1,200.0,1,1,0
2024-06-13 00:00:00,algo1,200.0,1,1,0
2024-09-03 00:00:00,algo1,200.0,1,1,0
2024-10-22 00:00:00,algo1,-200.0,1,0,1
2024-03-18 00:00:00,algo1,200.0,1,1,0
2024-05-08 00:00:00,algo1,200.0,1,1,0
2024-11-13 00:00:00,algo1,-200.0,1,0,1
2024-07-03 00:00:00,algo1,200.0,1,1,0
2024-02-05 00:00:00,algo1,-200.0,1,0,1
2024-11-12 00:00:00,algo1,-200.0,1,0,1
2024-03-26 00:00:00,algo1,200.0,1,1,0
2024-05-07 00:00:00,algo1,-200.0,1,0,1
2024-05-09 00:00:00,algo1,-200.0,1,0,1
2024-02-13 00:00:00,algo1,-200.0,1,0,1
2024-10-03 00:00:00,algo1,-200.0,1,0,1
2024-09-19 00:00:00,algo1,200.0,1,1,0
2024-08-28 00:00:00,algo1,200.0,1,1,0
2024-12-18 00:00:00,algo1,-200.0,1,0,1
2025-05-23 00:00:00,algo1,-200.0,1,0,1
2024-12-11 00:00:00,algo1,200.0,1,1,0
2024-12-13 00:00:00,algo1,-200.0,1,0,1
2024-01-05 00:00:00,algo1,200.0,1,1,0
2024-10-10 00:00:00,algo1,200.0,1,1,0
2024-09-26 00:00:00,algo1,200.0,1,1,0
2024-10-04 00:00:00,algo1,-200.0,1,0,1
2024-07-09 00:00:00,algo1,200.0,1,1,0
